round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
101,Sanromolo,1,26,27,2024-10-10T11:10:45.976Z
105,APT-Finals-2,7,31,3,2024-10-10T11:07:23.488Z
109,Diese-2,0,0,,
114,APT-Finals-1,0,0,,
114,duogesto,32,15,11,2024-10-10T09:03:16.013Z
118,APT-Finals-1,0,0,,
118,duogesto,32,13,11,2024-10-10T09:03:16.013Z
122,Diese-1,29,13,20,2024-10-10T09:02:01.279Z
126,CookingNonna,4,28,15,2024-10-10T11:33:10.113Z
130,Diese-1,30,12,20,2024-10-10T09:02:01.279Z
130,Sanromolo,2,28,27,2024-10-10T11:10:45.976Z
135,APT-Finals-2,10,25,3,2024-10-10T11:07:23.488Z
135,duogesto,32,17,11,2024-10-10T09:03:16.013Z
139,APT-Finals-1,0,0,,
139,duogesto,32,17,11,2024-10-10T09:03:16.013Z
143,APT-Finals-1,0,0,,
143,duogesto,31,17,11,2024-10-10T09:03:16.013Z
147,APT-Finals-1,0,0,,
147,duogesto,32,17,11,2024-10-10T09:03:16.013Z
151,APT-Finals-1,0,0,,
151,duogesto,31,17,11,2024-10-10T09:03:16.013Z
154,Diese-2,0,0,,
159,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
159,fonograph,26,17,20,2024-10-10T09:19:01.906Z
164,CookingNonna,6,35,15,2024-10-10T11:33:10.113Z
164,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
170,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
170,duogesto,32,15,11,2024-10-10T09:03:16.013Z
174,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
174,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
180,APT-Finals-1,1,27,20,2024-10-10T14:37:29.635Z
